city,Cloudiness,country,Date,Humidity,lat,lng,Max_Temp,Wind Speed
bacolod,92.0,ph,2018-05-24 14:09:04,100.0,9.554549767367234,129.32459365246063,29.92,4.56
ligayan,36.0,ph,2018-05-24 14:09:05,98.0,3.7810924266552774,119.38246962016143,30.42,3.66
georgetown,20.0,sh,2018-05-24 14:09:07,100.0,-12.488799547944268,-21.747915533668504,25.17,7.81
marzuq,0.0,ly,2018-05-24 14:09:08,9.0,23.333031105887187,14.105219102864169,41.42,4.71
adrar,0.0,dz,2018-05-24 14:09:10,10.0,29.14472243828118,-3.3915988759315496,33.32,8.11
labuhan,0.0,id,2018-05-24 14:09:11,100.0,-20.089715599223965,94.25269739100264,22.57,12.56
bilma,0.0,ne,2018-05-24 14:09:13,9.0,21.34810864038272,14.832850633745494,42.17,1.96
shelopugino,0.0,ru,2018-05-24 14:09:14,78.0,51.84693467560277,117.36015086991648,3.42,1.31
wanaka,76.0,nz,2018-05-24 14:09:15,100.0,-42.81092255582719,168.4739186363903,11.72,9.71
tautira,80.0,pf,2018-05-24 14:09:17,100.0,-16.816281829806442,-142.72985467457045,25.67,4.31
broome,0.0,au,2018-05-24 14:09:18,49.0,-18.84162528641957,123.72424669963868,17.22,1.76
dongsheng,0.0,cn,2018-05-24 14:09:20,63.0,39.05285210960952,109.49264844596621,12.42,1.86
tokur,92.0,ru,2018-05-24 14:09:21,93.0,54.96134584701801,131.8150065848829,4.17,0.96
chebarkul,80.0,ru,2018-05-24 14:09:23,30.0,55.095454343972165,60.310760018781,23.47,7.46
xinqing,76.0,cn,2018-05-24 14:09:24,95.0,48.527798417491454,129.71211051437427,6.31,3.16
toliary,0.0,mg,2018-05-24 14:09:26,100.0,-23.920888517703105,41.76572466504848,26.11,2.51
kohlu,0.0,pk,2018-05-24 14:09:27,14.0,29.76802068027463,68.82317428716686,24.97,2.41
yellowknife,56.0,ca,2018-05-24 14:09:29,99.0,73.37230147475898,-102.60585577710202,-6.79,7.96
vostok,48.0,ru,2018-05-24 14:09:30,88.0,48.52271447747856,146.59662201373817,4.06,3.36
bethel,32.0,us,2018-05-24 14:09:32,97.0,57.49128366694907,-163.05175189599748,4.67,5.46
beringovskiy,92.0,ru,2018-05-24 14:09:33,98.0,57.719539837260555,175.08025002,4.06,8.11
bara,0.0,sd,2018-05-24 14:09:35,18.0,16.250502376504897,29.372549762157007,39.52,1.66
mount gambier,68.0,au,2018-05-24 14:09:36,100.0,-39.35702783126118,139.6643903387175,12.22,1.51
kurilsk,76.0,ru,2018-05-24 14:09:38,92.0,47.11118417165909,146.45729996158917,4.67,1.96
bintulu,0.0,my,2018-05-24 14:09:39,100.0,4.391037177507286,112.48765065273955,29.02,1.56
jamestown,76.0,sh,2018-05-24 14:09:41,100.0,-24.718235521260794,-8.986915783090126,20.97,3.16
manggar,88.0,id,2018-05-24 14:09:42,100.0,-4.438642740133048,107.88899157857338,28.67,4.51
jucuapa,20.0,sv,2018-05-24 13:50:00,79.0,13.563295996941676,-88.41536736487772,29.0,1.0
ponta do sol,68.0,cv,2018-05-24 14:09:45,100.0,22.126257859046518,-32.3184331523498,21.47,6.96
west plains,90.0,us,2018-05-24 12:53:00,88.0,36.73501631530827,-91.44850601579616,21.0,1.41
mahanoro,24.0,mg,2018-05-24 14:09:48,100.0,-20.467047837120163,50.428461144847546,25.42,5.66
upernavik,56.0,gl,2018-05-24 14:09:50,100.0,71.73766072090206,-58.136104730459905,-2.89,2.71
javier,76.0,ph,2018-05-24 14:09:51,93.0,10.811553229070554,124.85975400779802,27.57,2.51
megion,100.0,ru,2018-05-24 14:09:52,85.0,59.610224421704686,75.56166207836935,11.17,4.21
nalut,0.0,ly,2018-05-24 14:09:54,26.0,31.150998457696602,9.205276741070378,36.72,2.56
aranos,0.0,na,2018-05-24 14:09:55,12.0,-25.24484696543955,19.732767946791967,26.82,1.96
kasongo-lunda,24.0,cd,2018-05-24 14:09:57,45.0,-4.978351274124023,16.800779580734144,31.82,0.26
cabo san lucas,92.0,mx,2018-05-24 14:09:58,100.0,12.165227184638383,-119.01967088931073,27.57,4.46
narsaq,75.0,gl,2018-05-24 13:00:00,85.0,82.23578425599203,-61.26490559792764,-10.0,3.6
ondjiva,100.0,ao,2018-05-24 14:10:01,22.0,-16.712661557591247,16.27084520826608,26.27,2.56
marang,32.0,my,2018-05-24 14:10:04,100.0,6.211470202472427,105.7837902815092,29.57,0.61
nyurba,20.0,ru,2018-05-24 14:10:05,53.0,64.99857480281975,116.95779861130586,11.22,3.36
kushnarenkovo,92.0,ru,2018-05-24 14:10:07,36.0,55.32928519062827,55.13877680467914,23.22,6.26
horasan,92.0,tr,2018-05-24 14:10:08,93.0,39.67460196516433,42.046746140331265,10.67,1.36
torbay,92.0,ca,2018-05-24 14:10:10,93.0,42.32114945032586,-50.639919004717484,13.47,6.01
chitrakonda,20.0,in,2018-05-24 14:10:11,94.0,17.92036801486566,81.95239534896848,21.97,0.76
mys shmidta,88.0,ru,2018-05-24 14:10:13,92.0,72.65224920729085,-179.7837594363736,-4.79,5.86
hilo,76.0,us,2018-05-24 14:10:14,100.0,14.503650097931796,-150.27518358794129,25.57,8.71
kaitangata,92.0,nz,2018-05-24 14:10:16,100.0,-50.18183077077514,172.34445657598957,7.06,10.76
puerto madryn,12.0,ar,2018-05-24 14:10:17,67.0,-42.39956966116714,-64.80673445803085,14.97,7.01
debre tabor,36.0,et,2018-05-24 14:10:18,23.0,11.774221962944281,38.39142629663951,24.82,1.76
cayenne,80.0,gf,2018-05-24 14:10:20,100.0,13.035754463122757,-46.726090648466084,25.17,7.41
verkh-usugli,0.0,ru,2018-05-24 14:10:21,85.0,53.35392123897893,115.50051550536784,2.42,1.11
eskasem,32.0,af,2018-05-24 14:10:22,100.0,36.451515473387985,71.64512196359368,-4.09,0.71
harper,20.0,lr,2018-05-24 14:10:24,99.0,-1.7827311576726714,-9.620854948499186,27.02,6.96
yaring,80.0,th,2018-05-24 14:10:25,100.0,8.795605942528056,102.63836561477677,28.82,0.76
sitka,88.0,us,2018-05-24 14:10:27,100.0,52.25730497669463,-136.89127187023735,8.42,7.71
longyearbyen,68.0,sj,2018-05-24 14:10:28,100.0,86.22872293943954,16.85241368507704,-3.49,3.56
bosanska krupa,56.0,ba,2018-05-24 14:10:29,73.0,44.8704280359824,16.088969614846008,22.42,1.36
evansville,1.0,us,2018-05-24 13:35:00,60.0,38.27886504393658,-87.59409017623234,24.0,2.6
huarmey,0.0,pe,2018-05-24 14:10:32,100.0,-11.010880615499161,-80.44995623823777,19.31,5.01
erenhot,68.0,cn,2018-05-24 14:10:34,20.0,44.56587469270869,110.60088240569303,21.61,5.71
newport,76.0,us,2018-05-24 14:10:35,98.0,45.192782397626615,-126.8283704379453,12.77,6.46
begampur,75.0,in,2018-05-24 14:00:00,79.0,22.73264547826082,88.1384614681503,30.0,6.7
katsuura,0.0,jp,2018-05-24 14:10:38,100.0,19.561558178146797,149.25722158237932,28.07,1.36
raudeberg,0.0,no,2018-05-24 14:10:39,100.0,64.12490823554879,2.322139936057056,9.17,7.16
kamaishi,0.0,jp,2018-05-24 14:10:41,97.0,38.646412644857946,142.65848254835794,15.56,3.66
saint george,0.0,bm,2018-05-24 14:10:42,100.0,36.432560363923045,-65.7012533948141,21.82,5.46
avera,56.0,pf,2018-05-24 14:10:43,100.0,-25.047865658426886,-152.4611735246268,23.61,3.56
les cayes,56.0,ht,2018-05-24 14:10:45,97.0,16.220211438027192,-74.83287979444813,27.57,11.41
bur gabo,92.0,so,2018-05-24 14:10:46,100.0,-2.4837118095129114,43.87968185752942,27.22,6.71
labutta,12.0,mm,2018-05-24 14:10:48,100.0,15.605430735071181,91.66468933267828,30.77,6.81
loa janan,80.0,id,2018-05-24 14:10:49,96.0,0.09786770797070687,115.12506989714717,22.61,0.76
muisne,8.0,ec,2018-05-24 14:10:51,100.0,2.012606266414238,-83.00911835312147,25.22,2.66
zyryanka,76.0,ru,2018-05-24 14:10:52,86.0,67.55487627127818,149.61857947514937,-3.69,1.81
makakilo city,92.0,us,2018-05-24 14:10:53,100.0,6.391478012302656,-166.5671725500764,26.52,6.46
bermeo,24.0,es,2018-05-24 14:10:55,98.0,44.234497227022786,-2.67749275619056,17.92,5.66
hirara,0.0,jp,2018-05-24 14:10:56,100.0,26.372275964068123,124.43842893731124,25.42,2.21
pavagada,64.0,in,2018-05-24 14:10:57,85.0,14.198988700448794,77.32580255383846,22.92,1.81
auki,92.0,sb,2018-05-24 14:10:59,100.0,-6.983305095459926,161.64912639489177,28.77,4.66
gayny,80.0,ru,2018-05-24 14:11:00,45.0,60.08948130682029,53.98108504061767,12.72,3.76
los alamos,1.0,us,2018-05-24 13:35:00,47.0,36.18605263241524,-106.87135443930704,15.0,0.96
stuttgart,40.0,us,2018-05-24 13:34:00,88.0,34.24174294183075,-91.6732160104716,23.0,2.1
urubicha,0.0,bo,2018-05-24 14:11:04,47.0,-15.375845690941759,-61.84282950778113,26.32,2.21
powell river,36.0,ca,2018-05-24 14:11:06,67.0,51.436073903259995,-124.08382307609483,9.67,1.06
pierre,0.0,us,2018-05-24 12:56:00,87.0,44.65395771347852,-101.63047851766866,15.0,5.7
sioux lookout,1.0,ca,2018-05-24 13:00:00,59.0,53.32357464599417,-90.92255195822266,19.0,1.56
jardim,0.0,br,2018-05-24 14:11:10,100.0,4.432776093959319,-33.753807395243,26.67,6.01
nome,76.0,us,2018-05-24 14:11:12,99.0,67.2868879145972,-166.91985283184886,-0.79,3.56
tilichiki,0.0,ru,2018-05-24 14:11:13,96.0,60.62549516849276,165.15202347757702,-1.59,0.96
porto novo,32.0,cv,2018-05-24 14:11:14,100.0,14.41647102976816,-37.174424624749975,23.67,7.51
anito,44.0,ph,2018-05-24 14:11:16,100.0,13.129613077628548,126.19062993690306,29.11,5.81
itarema,64.0,br,2018-05-24 14:11:17,100.0,6.964000187028731,-36.132545478272334,26.32,7.01
norman wells,12.0,ca,2018-05-24 14:11:18,100.0,73.4478081810976,-118.76444917490842,-6.29,2.06
